Designator,Mid X,Mid Y,Layer,Rotation
C1,9.000000mm,1.500000mm,Top,0.0
C2,31.000000mm,1.500000mm,Top,0.0
C3,53.000000mm,1.500000mm,Top,0.0
C4,75.000000mm,1.500000mm,Top,0.0
C5,97.000000mm,1.500000mm,Top,0.0
C6,119.000000mm,1.500000mm,Top,0.0
C7,141.000000mm,1.500000mm,Top,0.0
C8,163.000000mm,1.500000mm,Top,0.0
C9,185.000000mm,1.500000mm,Top,0.0
C10,207.000000mm,1.500000mm,Top,0.0
C11,229.000000mm,1.500000mm,Top,0.0
C12,251.000000mm,1.500000mm,Top,0.0
C13,169.500000mm,1.500000mm,Top,180.0
C14,94.500000mm,6.500000mm,Top,0.0
C15,245.000000mm,1.500000mm,Top,0.0
D1,12.500000mm,3.000000mm,Top,180.0
D2,34.500000mm,3.000000mm,Top,180.0
D3,56.500000mm,3.000000mm,Top,180.0
D4,78.500000mm,3.000000mm,Top,180.0
D5,100.500000mm,3.000000mm,Top,180.0
D6,122.500000mm,3.000000mm,Top,180.0
D7,144.500000mm,3.000000mm,Top,180.0
D8,166.500000mm,3.000000mm,Top,180.0
D9,188.500000mm,3.000000mm,Top,180.0
D10,210.500000mm,3.000000mm,Top,180.0
D11,232.500000mm,3.000000mm,Top,180.0
D12,254.500000mm,3.000000mm,Top,180.0
R1,12.500000mm,5.000000mm,Top,0.0
R2,34.500000mm,5.000000mm,Top,0.0
R3,56.500000mm,5.000000mm,Top,0.0
R4,78.500000mm,5.000000mm,Top,0.0
R5,100.500000mm,5.000000mm,Top,0.0
R6,122.500000mm,5.000000mm,Top,0.0
R7,144.500000mm,5.000000mm,Top,0.0
R8,166.500000mm,5.000000mm,Top,0.0
R9,188.500000mm,5.000000mm,Top,0.0
R10,210.500000mm,5.000000mm,Top,0.0
R11,232.500000mm,5.000000mm,Top,0.0
R12,254.500000mm,5.000000mm,Top,0.0
U1,9.000000mm,4.000000mm,Top,0.0
U2,31.000000mm,4.000000mm,Top,0.0
U3,53.000000mm,4.000000mm,Top,0.0
U4,75.000000mm,4.000000mm,Top,0.0
U5,97.000000mm,4.000000mm,Top,0.0
U6,119.000000mm,4.000000mm,Top,0.0
U7,141.000000mm,4.000000mm,Top,0.0
U8,163.000000mm,4.000000mm,Top,0.0
U9,185.000000mm,4.000000mm,Top,0.0
U10,207.000000mm,4.000000mm,Top,0.0
U11,229.000000mm,4.000000mm,Top,0.0
U12,251.000000mm,4.000000mm,Top,0.0
U13,88.000000mm,4.000000mm,Top,270.0
U14,176.000000mm,4.000000mm,Top,90.0
